director,mean_gross,mean_budget,number_of_movies,profit_ratio
Andrew Niccol,19659316.2,43333333.3333333,5,0.453676527692308
Andrew Stanton,148432784,221850000,2,0.669068217263917
"Andrew Stanton,Lee Unkrich",380838870,9.4e+07,1,4.05147734042553
"Andrew Wilson,Luke Wilson",127144,8e+06,1,0.015893
Andrzej Bartkowiak,35821900,33200000,5,1.07897289156627
Andy Cadiff,12189514,2.3e+07,1,0.529978869565217
Andy Cheng,6877133,2.6e+07,1,0.264505115384615
Andy Fickman,58879108.4,30400000,5,1.93681277631579
Andy Garcia,2483955,9600000,2,0.2587453125
Andy Tennant,104953522,6e+07,3,1.74922536666667
Ang Lee,86892122.25,75250000,4,1.15471258803987
Angela Robinson,33049398.5,17840000,3,1.85254475896861
Angelina Jolie Pitt,57952642.5,26166666.6666667,3,2.21475066878981
"Anna Boden,Ryan Fleck",3715990,8e+06,4,0.46449875
Anne Fletcher,85780846.5,30500000,4,2.8124867704918
Annette Haywood-Carter,36746,5e+06,1,0.0073492
"Anthony Bell,Ben Gluck",25077977,2e+07,1,1.25389885
Anthony Burns,11108,3e+06,3,0.00370266666666667
Anthony Hemingway,49875589,5.8e+07,1,0.859923948275862
Anthony Leondis,19528188,2.5e+07,1,0.78112752
Anthony Minghella,48280787,7.9e+07,2,0.611149202531646
"Anthony Russo,Joe Russo",111895084.666667,78666666.6666667,3,1.4223951440678
Antoine Fuqua,52608636,56875000,9,0.924987006593407
Anton Corbijn,26416735.5,17500000,4,1.50952774285714
Arie Posin,49526,6800000,1,0.00728323529411765
Ariel Vromen,1939441,7500000,2,0.258592133333333
Armand Mastroianni,1036886,1e+07,1,0.1036886
Asger Leth,18600911,4.2e+07,1,0.442878833333333
Atom Egoyan,3074838,1.1e+07,2,0.279530727272727
Audrey Wells,43601508,1.8e+07,1,2.422306
Austin Chick,11762,3400000,1,0.00345941176470588
Ava DuVernay,26072015,6750000,3,3.86252074074074
Baltasar Kormákur,47355251.6666667,3.2e+07,3,1.47985161458333
Barbet Schroeder,31874869,5e+07,1,0.63749738
Barry Jenkins,110869,13000,1,8.52838461538462
Barry Levinson,12697026.75,20200000,5,0.628565680693069
Barry Sonnenfeld,112025995,117500000,4,0.953412723404255
Bart Freundlich,6110133,9666666.66666667,4,0.632082724137931
Baz Luhrmann,101099582.5,78750000,2,1.28380422222222
Ben Affleck,96128087.25,36250000,4,2.65180930344828
Ben Coccio,7221,20000,1,0.36105
Ben Falcone,84518155,2e+07,1,4.22590775
Ben Lewin,5997134,1e+06,1,5.997134
Ben Stassen,14532946,2.5e+07,1,0.58131784
Ben Stiller,84322911,9.1e+07,2,0.926625395604396
Ben Younger,19833102,8e+06,2,2.47913775
Benh Zeitlin,12784397,1800000,1,7.10244277777778
Bennett Miller,38816454,2.7e+07,3,1.43764644444444
Benny Boom,10017041,5500000,2,1.82128018181818
Bent Hamer,808221,1e+06,2,0.808221
Bette Gordon,22878,1e+06,2,0.022878
Betty Thomas,99219525,45333333.3333333,3,2.18866599264706
"Bibo Bergeron,Don Paul",50802661,9.5e+07,1,0.534764852631579
"Bibo Bergeron,Vicky Jenson",160762022,7.5e+07,1,2.14349362666667
"Bill Boyce,John Stronach",938232,1e+07,1,0.0938232
Bill Condon,138076414.2,67800000,5,2.03652528318584
Bill Duke,10572742,8e+06,1,1.32159275
Bille Woodruff,28534595,18333333.3333333,4,1.55643245454546
Billy Bob Thornton,7770750.5,5.7e+07,2,0.136328956140351
Billy Ray,12458263.3333333,6e+06,3,2.07637722222222
Blair Hayes,5002310,1.3e+07,1,0.384793076923077
Blair Treu,405182,2500000,1,0.1620728
Bo Welch,100446895,1.09e+08,1,0.921531146788991
Boaz Yakin,56563598,26666666.6666667,3,2.121134925
Bob Clark,9109322,2e+07,1,0.4554661
Bob Dolman,21664518.5,1e+07,2,2.16645185
Bob Odenkirk,2757370.5,1e+07,2,0.27573705
"Bobby Farrelly,Peter Farrelly",49708126.2,4.8e+07,10,1.0355859625
Brad Anderson,10595849.8,8625000,6,1.22850432463768
Brad Bird,235401249.5,118500000,2,1.98650843459916
Brad Furman,57981889,26933333.3333333,3,2.15279290841584
Brad Gann,6900,3e+06,1,0.0023
Brad Peyton,73693978.5,8.2e+07,2,0.898707054878049
Brad Silberling,43732896.25,8.7e+07,4,0.502676968390805
Brandon Camp,22927390,1.8e+07,2,1.27374388888889
Breck Eisner,39103378,2e+07,1,1.9551689
"Brendan Malloy,Emmett Malloy",13903262,1.1e+07,1,1.26393290909091
Brett Ratner,118533840.5,101375000,8,1.16926106535142
Brian Baugh,3773863,1e+06,2,3.773863
Brian De Palma,11291706,27500000,2,0.410607490909091
Brian Hecker,53760,2e+06,1,0.02688
Brian Helgeland,52915018.6666667,47666666.6666667,3,1.11010528671329
"Brian Klugman,Lee Sternthal",11434867,6e+06,1,1.90581116666667
"Brian Koppelman,David Levien",7996484,1.5e+07,2,0.533098933333333
Brian Levant,55738101.5,38750000,5,1.43840261935484
Brian Percival,21483154,1.9e+07,2,1.13069231578947
Brian Robbins,52361563,48500000,6,1.0796198556701
Brooks Branch,28943,2500000,1,0.0115772
Bruce Beresford,539896,2.5e+07,3,0.02159584
Bruce Campbell,173066,1500000,2,0.115377333333333
Bruce Hendricks,42220854.5,7e+06,2,6.03155064285714
Bruce Hunt,14888028,3e+07,1,0.4962676
Bruce McCulloch,13973532,2.5e+07,1,0.55894128
Bruce Paltrow,4734235,1.5e+07,1,0.315615666666667
Bruce Robinson,13100042,4.5e+07,2,0.291112044444444
Bruno Barreto,15589458,3e+07,1,0.5196486
Bryan Barber,12549485,1.5e+07,1,0.836632333333333
Bryan Bertino,52534295,1e+07,2,5.2534295
Bryan Gunnar Cole,13800,2e+06,1,0.0069
Bryan Singer,159080370.166667,1.44e+08,6,1.10472479282408
Burr Steers,47643393.5,3.2e+07,2,1.488856046875
"Byron Howard,Chris Williams",114053579,1.5e+08,1,0.760357193333333
C. Jay Cox,557271.666666667,733333.333333333,3,0.75991590909091
Cal Brunker,57011847,4e+07,1,1.425296175
Callie Khouri,45127693.5,24500000,2,1.84194667346939
Cam Archer,9089,83833.3333333333,3,0.108417495029821
Cameron Crowe,33859360,58500000,4,0.578792478632479
