director,mean_gross,mean_budget,number_of_movies
Mike Mitchell,104503262,81666666.6666667,3
Mike Nawrocki,12701880,1.5e+07,1
"Mike Nawrocki,Phil Vischer",25571351,1.4e+07,1
Mike Newell,112257671.5,1.15e+08,4
Mike Nichols,41507977.2,50800000,5
Mike Ott,13927,NaN,1
Mike White,1538703,NaN,1
Mimi Leder,33508922,3e+07,3
Mira Nair,11604583.2,31500000,5
Miranda July,2226750,1500000,4
Mitch Davis,4720371,7e+06,1
"Mitchell Altieri,Phil Flores",NaN,4e+06,5
Mitchell Lichtenstein,184573,NaN,2
Moonsung Lee,NaN,NaN,1
Morgan J. Freeman,NaN,1500000,2
Morgan Neville,4946250,1e+06,1
Morgan O'Neill,NaN,2.5e+07,2
Morgan Spurlock,3141851.5,782500,4
Mort Nathan,8586376,2e+07,1
Murray Robinson,NaN,NaN,1
Nadav Schirman,257779,NaN,1
Nadeem Soumah,NaN,NaN,1
Nae Caranfil,NaN,5e+06,1
Nancy Bardawil,NaN,NaN,1
Nancy Buirski,NaN,NaN,1
Nancy Criss,NaN,NaN,1
Nancy D. Kates,NaN,NaN,1
Nancy Meyers,103305687.25,83750000,4
Nancy Savoca,44830,NaN,1
Nanette Burstein,9368906,3.2e+07,2
"Nanette Burstein,Brett Morgen",1434436,NaN,1
"Nat Faxon,Jim Rash",21501098,5e+06,1
Natalie Portman,NaN,NaN,1
Nathan Adloff,NaN,NaN,1
Nathan Brunskill,NaN,NaN,1
Nathan Frankowski,7499617,3450000,2
"Nathan Greno,Byron Howard",200807262,2.6e+08,1
Nathan Hope,NaN,5e+05,1
Nathan Rissman,NaN,NaN,1
Nathaniel Kahn,2748981,NaN,2
Nayan Padrai,38261,NaN,2
Ned Benson,585640,3e+06,2
Ned Farr,NaN,250000,4
Neil Berkeley,NaN,NaN,2
Neil Burger,67519139.25,35750000,4
Neil Jordan,36789772,7e+07,1
Neil Kinsella,NaN,NaN,1
Neil LaBute,23608257,22500000,6
Neill Blomkamp,104348176,72500000,2
Nelson McCormick,36440360,2e+07,2
Nenad Cicin-Sain,NaN,NaN,1
Nia Vardalos,10060,3e+06,1
Nicholas DiBella,NaN,NaN,1
Nicholas Fackler,124720,5e+06,1
"Nicholas Filippi,Bret Haaland",NaN,NaN,1
Nicholas Hytner,17174870,1.8e+07,1
Nicholas Jarecki,7918283,1.2e+07,1
Nicholas Jasenovec,1269361,NaN,1
Nicholas Mastandrea,NaN,NaN,1
Nicholas McCarthy,NaN,NaN,1
Nicholas Mross,NaN,NaN,1
Nicholas Stoller,75625443.75,2.6e+07,4
Nicholaus Goossen,6088249,5e+06,2
"Nick August-Perna,Chris Dapkins",NaN,NaN,1
Nick Broomfield,NaN,NaN,1
"Nick Broomfield,Joan Churchill",85992,NaN,1
Nick Cassavetes,43882470.8,33750000,5
Nick Castle,NaN,1500000,1
Nick Delgado,NaN,75000,1
Nick Hamm,14334645,2.5e+07,1
Nick Hurran,20422207,25250000,2
Nick Lyon,NaN,3e+06,1
Nick Oceano,NaN,NaN,1
Nick Sherman,NaN,NaN,1
Nick Simon,NaN,NaN,1
Nick Stillwell,NaN,NaN,2
Nick Tomnay,48430,5e+05,2
Nico Soultanakis,NaN,NaN,1
Nicolas Brown,NaN,NaN,1
Nicolás López,40179,2e+06,1
Nicolas Winding Refn,12204013,8200000,3
Nicole Conn,NaN,175000,2
Nicole Holofcener,10141301.1666667,4600000,6
Nicole Kassell,20697,NaN,3
Niels Arden Oplev,10880926,3e+07,1
Niels Mueller,697759,NaN,1
Nigel Cole,21835784,3e+07,3
Niki Caro,18324242,3.5e+07,1
Nils Timm,NaN,NaN,1
Nima Nourizadeh,54724272,1.2e+07,1
Nimród Antal,28992136,28666666.6666667,3
Nir Paniry,NaN,NaN,1
Nnegest Likké,7059537,3e+06,1
Noah Baumbach,4872620.33333333,7166666.66666667,6
Noah Wagner,NaN,NaN,1
Noam Murro,57932999.5,1.1e+08,2
Nolan Lebovitz,NaN,NaN,1
Nora Ephron,55464025,63333333.3333333,3
"Norbert Caoili,Rob Portmann",NaN,NaN,1
Norman Jewison,50668906,3.8e+07,1
Olatunde Osunsanmi,25464480,1e+07,1
Ole Bornedal,49122319,1.4e+07,1
"Oliver Hirschbiegel,James McTeigue",15071514,8e+07,1
Oliver Stone,36502006.2857143,63866666.6666667,7
Olivia Silver,NaN,NaN,1
Olivier Dahan,NaN,20666666.6666667,3
Olivier Megaton,31316973,NaN,1
Omar Naim,548039,NaN,2
Omar Zúñiga Hidalgo,NaN,NaN,1
Ondi Timoner,73551,NaN,4
One9,109300,NaN,1
"Oren Goldman,Stav Ozdoba",NaN,NaN,2
Oren Jacoby,179507,NaN,1
Oren Kaplan,NaN,2500,2
Oren Moverman,340104,9250000,4
Oren Peli,107917283,2507500,2
Owen Hurley,NaN,NaN,3
P.J. Hogan,47034853.3333333,1e+08,4
P.J. Pesce,NaN,6300000,4
Pablo Proenza,NaN,1e+06,1
Paco Cabezas,NaN,2.1e+07,1
Paddy Breathnach,637769,NaN,1
Padraig Reynolds,NaN,NaN,2
Paris Mavroidis,NaN,10000,1
Pascal Laugier,NaN,18200000,1
Pat O'Connor,25178165,4e+07,1
Patricia Cardoso,5844929,3e+06,1
Patricia Foulkrod,12207,NaN,1
Patricia Riggen,7591993,5e+06,2
Patricia Rozema,17655201,1e+07,1
"Patrick Archibald,Jay Oliva",NaN,NaN,2
Patrick Brice,1100000,NaN,2
Patrick Coyle,NaN,NaN,1
Patrick Creadon,1586533.33333333,NaN,3
"Patrick Gilmore,Tim Johnson",26288320,6e+07,1
Patrick Hughes,39292022,9e+07,1
Patrick Lussier,25569180,22480000,5
"Patrick Paulson,Michael John Warren",728243,NaN,1
Patrick Sisam,NaN,NaN,1
Patrick Stettner,7825820,4e+06,1
Patrick Takaya Solomon,55518,NaN,1
Patrick Tatopoulos,45802315,3.5e+07,1
Patrick Wang,15724,NaN,1
Patrik Syversen,NaN,NaN,1
Patrik-Ian Polk,NaN,NaN,2
Patty Jenkins,34468224,4500000,1
Paul Abascal,15712072,2e+07,1
Paul Bettany,NaN,NaN,2
Paul Bright,NaN,NaN,1
Paul Etheredge,187786,NaN,2
Paul Feig,86396620.75,33833333.3333333,4
"Paul Fierlinger,Sandra Fierlinger",246574,NaN,2
Paul Greengrass,113980639.166667,68333333.3333333,6
Paul Haggis,26528336.5,22200000,6
Paul Hunter,23020488,5.2e+07,1
Paul Johansson,4563873,2e+07,2
Paul Justman,1600547,NaN,1
Paul Leyden,4156,NaN,1
"Paul Mariano,Kurt Norton",NaN,250000,1
Paul McGuigan,24734452,33250000,4
Paul Middleditch,NaN,2e+06,1
Paul Provenza,6377277,NaN,1
Paul Rachman,278785,NaN,1
Paul Scheuring,NaN,21800000,1
Paul Schneider,NaN,NaN,1
Paul Schrader,1069621.5,8e+06,4
Paul Sen,104286,NaN,2
Paul Solet,6174,5e+06,1
Paul Thomas Anderson,22034417.3333333,23333333.3333333,4
Paul Verhoeven,73209340,9.5e+07,1
Paul W.S. Anderson,47975463.3333333,63833333.3333333,6
Paul Weiland,46012734,4e+07,1
Paul Weitz,54540387.7142857,49666666.6666667,7
Paul Wimmer,NaN,NaN,1
Peggy Holmes,NaN,NaN,1
Penny Marshall,29781453,4.8e+07,1
Perry Andelin Blake,40363530,1.6e+07,1
"Pete Docter,Bob Peterson",292979556,1.75e+08,1
"Pete Docter,David Silverman",289907418,1.15e+08,1
Pete Jacelone,NaN,NaN,1
Pete Jones,119841,1500000,1
Pete McCormack,NaN,1800000,1
"Pete Michels,Peter Shin",NaN,NaN,1
Pete Travis,42833994.5,37500000,2
Peter Askin,NaN,NaN,1
Peter Avanzino,NaN,NaN,1
Peter Berg,99928026.5714286,89142857.1428571,7
Peter Billingsley,109176215,6e+07,1
Peter Bogdanovich,88460,NaN,1
Peter Bratt,NaN,3e+06,1
Peter Care,1779284,1.2e+07,1
Peter Cattaneo,6409206,1.5e+07,1
Peter Chelsom,48533964.25,49500000,4
Peter Chung,NaN,NaN,1
"Peter Chung,Andrew R. Jones",NaN,NaN,1
Peter Cornwell,55325526,NaN,1
Peter Engert,NaN,2500000,1
"Peter Getzels,Eduardo Lopez",57566,NaN,1
Peter Glanz,NaN,NaN,1
Peter Hanson,6764,NaN,1
Peter Hastings,16988996,3.5e+07,1
Peter Hedges,26052589.75,12650000,4
Peter Hewitt,43499469,3e+07,3
Peter Howitt,10965209,3e+07,1
Peter Hyams,1272017,33500000,4
Peter Jackson,234265091.142857,190285714.285714,7
"Peter John Ross,John Whitney",NaN,3e+05,1
Peter Joseph,NaN,2e+05,1
Peter Kosminsky,16346122,1.6e+07,1
Peter Lepeniotis,64238770,4.2e+07,1
"Peter Lord,Nick Park",106793915,4.5e+07,1
Peter M. Cohen,4142507,3e+06,1
Peter Markle,NaN,NaN,1
Peter Mervis,NaN,NaN,1
Peter Nicks,244092,NaN,1
Peter Paige,5203,650000,1
Peter Ramsey,103400692,1.45e+08,2
Peter Rodger,38244,1250000,1
Peter Sattler,9837,1e+06,1
Peter Segal,103696418.428571,65285714.2857143,7
Peter Sollett,31487293,9e+06,1
Peter Tolan,56408,NaN,1
Peter Wade,NaN,NaN,1
Peter Weir,33093729.3333333,1.5e+08,3
"Petra Epperlein,Michael Tucker",607502,NaN,1
Petter Næss,NaN,1.2e+07,1
Peyton Reed,83585433,56750000,4
Phedon Papamichael,NaN,NaN,1
Phil Alden Robinson,118471320,4.4e+07,2
"Phil Dorling,Ron Nyswaner",1641,NaN,1
Phil Dornfeld,NaN,NaN,1
"Phil Hay,Matt Manfredi",NaN,NaN,1
Phil Joanou,38432823,3e+07,1
"Phil Lord,Christopher Miller",191414236.666667,7e+07,3
Phil Morrison,2678010,1e+06,1
Phil Tippett,NaN,7e+06,1
Phil Traill,33860010,1.5e+07,1
Philip Adrian Booth,NaN,1500000,1
Philip Chidel,NaN,23000,1
Philip G. Atwell,22466994,2.5e+07,1
Philip Haas,2927319,NaN,1
Philip Kaufman,16127963,31750000,2
Philip Martin,NaN,NaN,1
Philip Rosenthal,83894,NaN,1
Philip Seymour Hoffman,538808,NaN,1
Philip Wang,NaN,NaN,2
Philip Zlotorynski,NaN,3e+06,1
Philipp Stölzl,NaN,NaN,1
Philippe Caland,1179327,5e+06,1
Philippe Diaz,15687,1e+06,4
Philippe Falardeau,2716989,2e+07,1
Philippe Martinez,NaN,7e+06,1
Phillip Dye,NaN,NaN,1
Phillip J. Roth,NaN,NaN,4
Phillip Montgomery,NaN,NaN,1
Phillip Noyce,45196993.3333333,51333333.3333333,3
Phyllida Lloyd,143704210,5.2e+07,1
Pierre Bagley,NaN,6500000,1
"Pierre Coffin,Chris Renaud",329200305,73666666.6666667,3
Pieter Jan Brugge,5763875,NaN,1
Pinchas Perry,NaN,NaN,1
Ping-Wen Wang,NaN,NaN,1
Pitof,40198710,1e+08,1
Po Chan,NaN,NaN,1
Po-Chih Leong,NaN,17500000,2
Prachya Pinkaew,NaN,1e+07,1
Preston A. Whitmore II,28065801,9300000,2
Q. Allan Brocka,220151,5e+05,1
"Q. Allan Brocka,Gregory Ecklund",NaN,NaN,2
Quentin Dupieux,45209,NaN,1
Quentin Lee,NaN,NaN,1
Quentin Tarantino,99703568.6666667,53333333.3333333,4
"Quentin Tarantino,Eli Roth",120523073,7.5e+07,1
R. Ellis Frazier,NaN,NaN,1
R.J. Cutler,3820700,NaN,1
Rachel Samuels,10958,NaN,1
Rachid Bouchareb,NaN,NaN,1
Raja Gosnell,102360305.285714,67714285.7142857,7
Ralph Ziman,NaN,NaN,1
Ramaa Mosley,6643,9e+05,1
Ramin Bahrani,630119.666666667,8e+06,6
Ramzi Abed,NaN,NaN,1
Randall Lobb,NaN,NaN,1
Randall Miller,999190.6,4100000,5
"Randall Rubin,Jonathan Schroder",NaN,1e+06,1
Randall Wallace,72240618.75,39250000,4
Randy Caspersen,NaN,NaN,1
Raul Garcia,NaN,NaN,1
Rawson Marshall Thurber,88257775.3333333,28500000,3
Ray Gower,NaN,NaN,2
Raymond De Felitta,3590753.75,6e+06,4
Raymond Salvatore Harmon,NaN,5000,1
Rebecca Cammisa,NaN,NaN,1
Rebecca Miller,738917,812500,3
Rebecca Thomas,NaN,NaN,1
"Reed Cowan,Steven Greenstreet",99851,2500000,1
Reggie Rock Bythewood,21701045,NaN,1
Regina Crosby,NaN,NaN,1
Reginald Hudlin,16930185,2.9e+07,2
Rene Perez,NaN,30000,1
Renée Chabria,NaN,NaN,1
Renny Harlin,19038776.7142857,36777777.7777778,10
Reverge Anselmo,NaN,NaN,1
"Rhode Montijo,Kenn Navarro",NaN,NaN,1
Rian Johnson,24502523,23333333.3333333,3
Ric Klass,NaN,NaN,1
Ric Roman Waugh,NaN,2900000,1
Rich Moore,189412677,1.65e+08,1
Rich Thorne,NaN,NaN,1
Richard Bates Jr.,NaN,NaN,1
Richard Benjamin,1646664,2e+07,1
Richard Brandes,NaN,NaN,1
Richard Clabaugh,NaN,3700000,1
Richard Donner,31082605.6666667,61333333.3333333,3
Richard Eyre,776691,1.5e+07,2
Richard Gabai,17011,NaN,1
"Richard Glatzer,Wash Westmoreland",18656400,5e+06,1
Richard Harrah,1785,1e+07,1
Richard Ingber,NaN,NaN,1
Richard Kelly,4080099.75,13625000,4
Richard LaGravenese,30133475.3333333,25500000,3
Richard Ledes,NaN,NaN,2
Richard LeMay,NaN,3000,2
Richard Levine,NaN,NaN,2
Richard Linklater,16578176.5454545,13155555.5555556,11
Richard Loncraine,13677537.75,2.8e+07,4
Richard Press,1510026,NaN,1
Richard Raaphorst,NaN,NaN,1
Richard Ramsey,993114,NaN,1
Richard Schenkman,NaN,446333.333333333,3
Richard Shepard,4774594.66666667,2e+07,3
Rick Bota,NaN,4e+06,2
Rick de Oliveira,3713002,8e+06,1
Rick Famuyiwa,23804835.5,1.1e+07,2
Rick Jacobson,17365,NaN,1
Rick Rosenthal,30259652,1.5e+07,1
"Ricki Stern,Anne Sundberg",2927972,NaN,1
"Ricky Gervais,Matthew Robinson",18439082,18500000,2
Ridley Scott,79772187.9166667,100090909.090909,12
Riley Stearns,NaN,NaN,1
Ringo Lam,NaN,1.7e+07,2
Ritesh Batra,4231500,1e+06,1
Rob Bowman,33734255,51500000,2
Rob Cohen,73693366,63142857.1428571,7
"Rob Epstein,Jeffrey Friedman",486059,1e+07,2
Rob Hardy,NaN,NaN,1
Rob Hedden,NaN,NaN,1
"Rob LaDuca,Robert C. Ramirez",NaN,NaN,1
Rob Letterman,42776259,1.12e+08,1
"Rob Letterman,Conrad Vernon",198332128,1.75e+08,1
Rob Lundsgaard,NaN,NaN,1
Rob Marshall,123286001.2,1.02e+08,5
Rob McKittrick,16101109,3e+06,1
Rob Meyer,NaN,NaN,1
Rob Minkoff,55420228.2,8.3e+07,5
Rob Pearlstein,NaN,NaN,1
Rob Pritts,23978402,1.1e+07,1
Rob Reiner,43227553,41600000,6
Rob Schmidt,29784,2e+06,1
Rob Thomas,3319109,6e+06,1
Rob VanAlkemade,196990,2e+06,1
Rob Walker,8406,NaN,1
Rob Zombie,45826694.5,1.5e+07,2
Robbie Pickering,48153,NaN,1
Robby Benson,320876,NaN,1
Robby D.,NaN,NaN,1
Robby Henson,844252,2433333.33333333,3
Robert Allan Ackerman,NaN,NaN,1
Robert Altman,9491835,1.3e+07,4
Robert B. Weide,NaN,NaN,1
Robert Barry Ptolemy,NaN,NaN,1
Robert Ben Garant,26609120,1e+07,2
Robert Benton,4755776.33333333,3e+07,3
Robert C. Cooper,NaN,NaN,1
Robert Collector,208565,NaN,1
Robert Davi,26157,NaN,1
Robert De Niro,59901040,9e+07,1
Robert Duvall,970185,NaN,1
Robert Edwards,NaN,1.8e+07,1
Robert Hall,NaN,1e+06,2
Robert Harari,NaN,NaN,1
Robert Harmon,367027,NaN,2
Robert Hiltzik,NaN,4e+06,1
Robert Iscove,12774769,12666666.6666667,3
Robert Kenner,2304762,NaN,2
Robert Kouba,NaN,20000,1
Robert Kurtzman,NaN,6e+06,1
Robert Lieberman,NaN,8500000,1
Robert Lorenz,35754555,NaN,1
Robert Luketic,60661932.1666667,51166666.6666667,6
Robert May,91512,NaN,1
Robert Moresco,53481,8e+06,1
Robert O'Geen,NaN,NaN,1
Robert Redford,16941913,47500000,3
Robert Rodriguez,58970986.125,34625000,9
"Robert Rodriguez,Eli Roth",25031037,5.3e+07,1
"Robert Schrock,Troy Christian",25526,NaN,1
Robert Schwentke,73484919,6.8e+07,5
Robert Shaye,21460590,NaN,1
Robert Stromberg,241407328,1.8e+08,1
Robert Towne,742614,NaN,1
Robert Vince,1246237,6750000,7
Robert Zemeckis,93959411.2,129200000,5
Roberto Faenza,NaN,8e+06,1
Roberts Gannaway,59157732,5e+07,1
"Roberts Gannaway,Peggy Holmes",NaN,3.5e+07,1
Robin Swicord,3573870,NaN,1
Robinson Devor,69032,NaN,1
Rock Baijnauth,NaN,NaN,1
Rod Hardy,46474,4e+06,1
Rod Lurie,9796205,26125000,4
Rodger Grossman,58776,NaN,1
Rodman Flender,267473,NaN,1
Rodney Ascher,259765,NaN,1
Rodrigo Cortés,1028658,3e+06,2
Rodrigo García,830410.333333333,11550000,4
Roel Reiné,NaN,1e+07,3
"Roger Allers,Gaëtan Brizzi",335030,1.2e+07,1
"Roger Allers,Jill Culton",84303558,8.5e+07,1
Roger Avary,6525762,4e+06,2
Roger Christian,21471685,4.4e+07,1
Roger Donaldson,20734692.25,1.9e+07,4
Roger Kumble,30053013,3.9e+07,5
Roger Michell,30993544,4e+07,2
Roger Nygard,NaN,NaN,1
Roger Ross Williams,NaN,NaN,1
Roger Spottiswoode,17785725,6.1e+07,2
Roland Emmerich,126811352,1.38e+08,5
Roland Joffé,1847596,26500000,2
Roland Suso Richter,NaN,8800000,2
Rolfe Kanefsky,NaN,250000,2
Roman Polanski,18653746,3.8e+07,1
"Ron Clements,John Musker",71247330.5,122500000,2
Ron Daniels,NaN,NaN,1
Ron Fricke,2601847,4e+06,2
Ron Howard,64320080.6666667,7.1e+07,9
Ron Krauss,1359563,5600000,2
Ron Maxwell,12870569,5.6e+07,1
Ron Oliver,668,NaN,1
Ron Pike,NaN,NaN,1
Ron Satlof,6103,1600000,1
Ron Shelton,16044174,3.5e+07,3
Ron Underwood,7258191.5,1e+08,2
Roque Ballesteros,NaN,NaN,1
Rory Kennedy,408700,NaN,1
Rosanna Arquette,NaN,6e+05,2
Rose Troche,319125,NaN,1
Ross Katz,104415,NaN,1
Rosser Goodman,16747,55000,2
Rowan Woods,NaN,NaN,1
Rowdy Herrington,2694071,NaN,1
Roy Knyrim,NaN,NaN,1
Ruben Fleischer,60793502,41800000,2
Rupert Sanders,155111815,1.7e+08,1
Rupert Wainwright,29511112,1.8e+07,1
Rupert Wyatt,105185935.5,5.9e+07,2
Russell Holt,3347439,7500000,1
Russell Mulcahy,50648679,3e+07,3
Russell P. Marleau,NaN,NaN,1
Ry Russo-Young,13617.5,NaN,2
Ryan Coogler,16097842,9e+05,1
Ryan Craig,NaN,NaN,3
Ryan Eslinger,NaN,2e+06,1
Ryan Fleck,2694973,7e+05,1
Ryan Gosling,43282,2e+06,1
Ryan Little,970459.5,780000,4
Ryan Murphy,43664454,3.6e+07,2
Ryan Phillippe,NaN,2500000,1
Ryan Piers Williams,NaN,NaN,1
Ryan R. Williams,NaN,NaN,1
Ryan Shiraki,10462,1.2e+07,2
Ryan Smith,NaN,650000,1
RZA,15608545,1.5e+07,1
S.R. Bindler,36497,6e+06,1
S.S. Wilson,NaN,5e+06,1
Sacha Gervasi,6002708,NaN,2
Sal Bardo,NaN,NaN,3
Salim Akil,30846431.5,11800000,2
Salomé Breziner,NaN,NaN,1
Salvador Litvak,428432,7e+05,2
Sam Bozzo,NaN,NaN,1
"Sam Cullman,Jennifer Grausman",215300,NaN,1
Sam Esmail,NaN,NaN,1
"Sam Fell,Robert Stevenhagen",50818750,6e+07,2
Sam Firstenberg,NaN,1700000,1
"Sam Green,Bill Siegel",560199,NaN,2
Sam Jaeger,15374,NaN,1
Sam Kadi,24296,NaN,1
Sam Levinson,NaN,4e+06,1
Sam Liu,NaN,3500000,5
"Sam Liu,Frank Paur",NaN,NaN,1
"Sam Liu,Lauren Montgomery",NaN,3500000,2
Sam McConnell,NaN,15000,1
Sam Mendes,103760444.285714,97428571.4285714,7
Sam Miller,52543632,13200000,1
Sam Raimi,233761617.666667,1.42e+08,6
Sam Weisman,27414902,3.1e+07,2
Sam Zalutsky,NaN,2e+05,1
Samuel Bayer,63059655,3.5e+07,1
Samuel Fischer,NaN,4200000,2
Sanaa Hamri,25678000,NaN,3
Sandi Simcha Dubowski,619612,NaN,1
Sandra Nettelbeck,NaN,8e+06,2
Sandy Tung,NaN,NaN,1
Sara Sugarman,29302097,1.5e+07,1
"Sarah Smith,Barry Cook",46440491,1e+08,1
"Saul Blinkoff,Elliot M. Bour",NaN,NaN,2
Savage Steve Holland,NaN,NaN,1
Scott Caan,914,NaN,1
Scott Coffey,16740,NaN,2
Scott Cooper,25394637,14500000,4
Scott Derrickson,58254186.75,33250000,4
Scott Featherstone,NaN,NaN,1
Scott Foley,NaN,5e+06,1
Scott Frank,15282611.5,2.2e+07,2
Scott Glosserman,38500,NaN,2
Scott Hamilton Kennedy,26012,NaN,1
Scott Hicks,31936672,2.8e+07,4
Scott Jeralds,NaN,NaN,1
Scott Maginnis,NaN,3e+05,1
Scott Marshall,5561,1e+07,1
"Scott McGehee,David Siegel",4111412.57142857,5800000,7
Scott Prendergast,83398,NaN,3
Scott Sanders,228477,2900000,1
Scott Speer,35057332,3.3e+07,1
Scott Stewart,28905545.3333333,29833333.3333333,3
Scott Teems,280343,NaN,1
Scott Thomas,NaN,1500000,2
Scott Walker,NaN,27220000,1
Scott Waugh,43568507,6.6e+07,1
Scott Wheeler,NaN,5e+05,1
Scott Wiper,3718,NaN,1
Scott Z. Burns,NaN,5e+06,1
Scott Ziehl,NaN,3750000,2
Sean Abley,NaN,NaN,1
Sean Anders,33247582.3333333,43666666.6666667,3
Sean Baker,87910,NaN,1
"Sean Baker,Shih-Ching Tsou",66892,3000,1
Sean Donnelly,NaN,NaN,1
Sean Durkin,2981638,NaN,2
"Sean Fine,Andrea Nix",111469,NaN,1
Sean MacLeod Phillips,23552772,NaN,1
Sean McConville,NaN,1800000,1
Sean McGinly,748363,NaN,2
Sean McNamara,21423646,1.2e+07,5
Sean Mullin,31849,NaN,1
Sean Penn,19036192,3e+07,2
Sebastián Cordero,125475,NaN,1
Sebastian Gutierrez,58610,NaN,3
Serge Rodnunsky,NaN,NaN,1
Seth Gordon,79446539.3333333,57500000,3
Seth Grossman,21298,3e+06,2
Seth Kearsley,23443124,3.4e+07,1
Seth MacFarlane,130622182.5,4.5e+07,2
Shainee Gabel,159171,NaN,1
Shana Feste,15986867.25,1.4e+07,4
Shane Acker,31743332,3e+07,1
Shane Black,206614054.5,107500000,2
Shane Carruth,421529,21333.3333333333,3
Shane Dax Taylor,9612,NaN,2
Shane Salerno,575775,2e+06,1
"Shari Springer Berman,Robert Pulcini",6842668.2,11333333.3333333,5
Shawn Christensen,2676,50000,2
Shawn Ku,77247,NaN,2
Shawn Levy,121163907.363636,78436363.6363636,11
Shawn Papazian,NaN,NaN,2
Shaz Bennett,NaN,15000,1
Shekhar Kapur,18306166,3.5e+07,1
Sheldon Lettich,NaN,1.2e+07,1
Sheldon Wilson,NaN,NaN,1
Shi-Zheng Chen,30041,NaN,1
Shinji Aramaki,NaN,NaN,1
Shira Piven,608852,NaN,1
Shirin Neshat,NaN,NaN,1
Shyam Madiraju,NaN,NaN,1
Sidney J. Furie,NaN,NaN,1
Sidney Lumet,5112939.66666667,16333333.3333333,3
Signe Baumane,22518,NaN,1
"Simon Barrett,Jason Eisener",21368,NaN,1
Simon Brand,NaN,4500000,1
Simon Curtis,14597405,NaN,1
Simon Fellows,NaN,13500000,2
"Simon Helberg,Jocelyn Towne",NaN,NaN,1
Simon Hunter,4724,2.5e+07,1
Simon Rumley,NaN,NaN,1
Simon Wells,39032067,1.15e+08,2
Simon West,58663702.2,5.1e+07,7
Simon Wincer,16170754,21150000,2
So Yong Kim,7282,NaN,2
Sofia Coppola,12460971.3333333,1.2e+07,7
Solve Sundsbo,NaN,NaN,1
Sophie Barthes,903148,NaN,3
Spencer Parsons,NaN,NaN,1
Spencer Susser,382946,7e+06,1
"Spike Brandt,Tony Cervone",NaN,NaN,2
Spike Jonze,41674703.3333333,47333333.3333333,3
"Spike Jonze,Lance Bangs",NaN,NaN,1
Spike Lee,16431278.5714286,24600000,8
Stacy Peralta,681428.5,NaN,3
Stacy Title,NaN,5e+06,1
Stanley Nelson,NaN,NaN,1
Stanley Tucci,641117,NaN,3
Stefan Forbes,60332,NaN,1
Stefan Ruzowitzky,65804,1.2e+07,1
Stefen Fangmeier,75030163,1e+08,1
Stéphane Laporte,NaN,NaN,1
Stephanie Soechtig,1538899,NaN,1
Stephanie Wang-Breal,NaN,NaN,1
Stephen Belber,631496.333333333,NaN,3
Stephen Carpenter,3100650,1.4e+07,1
Stephen Chbosky,17738570,1.3e+07,1
Stephen Cleary,NaN,NaN,1
Stephen Cone,NaN,NaN,1
Stephen Daldry,35871843,32333333.3333333,3
Stephen Deutsch,422897,NaN,1
Stephen Elliott,2760,2500000,1
Stephen Frears,18864358.5,19175000,2
Stephen Gaghan,30767327.5,37500000,2
Stephen Gyllenhaal,6497,NaN,1
Stephen Herek,16852912.6666667,2.9e+07,6
"Stephen Hillenburg,Mark Osborne",85416609,3e+07,1
Stephen Hopkins,16831229,3.5e+07,3
Stephen J. Anderson,97821064,NaN,1
"Stephen J. Anderson,Don Hall",26687172,3e+07,1
Stephen Judson,NaN,NaN,1
Stephen Kay,30665150,3e+07,2
Stephen Low,NaN,3e+06,3
Stephen Maddocks,NaN,NaN,1
Stephen Milburn Anderson,46451,7e+06,2
Stephen Norrington,66462600,7.8e+07,1
Stephen Purvis,NaN,NaN,2
Stephen S. Campanelli,NaN,5e+06,1
Stephen Sommers,150167630,1.75e+08,1
Stevan Mena,NaN,3600000,2
Steve 'Spaz' Williams,37371315,8e+07,1
Steve Anderson,19791,NaN,3
Steve Antin,39440655,5.5e+07,3
Steve Beck,30079316,3.5e+07,1
Steve Boyum,3101301,NaN,2
Steve Buscemi,236958.6,5e+05,5
Steve Carr,60871785,47775000,5
Steve Conrad,406252,8e+06,1
"Steve Hickner,Simon J. Smith",126597121,1.5e+08,1
Steve James,546086,153875,2
"Steve Martino,Mike Thurmeier",161317423,9.5e+07,2
Steve McQueen,56667870,2e+07,2
Steve Miner,NaN,1.8e+07,3
Steve Oedekerk,16033556,1e+07,1
Steve Pink,45050529.3333333,23833333.3333333,3
Steve Purcell,NaN,NaN,1
Steve Rash,1830475,10125000,6
Steve Shill,68261644,2e+07,1
Steve Stockman,45816,2400000,2
Steve Suh,NaN,50000,1
Steve Taylor,594904,1200000,1
Steve Woo,NaN,2e+06,1
"Steven Ascher,Jeanne Jordan",11167,NaN,1
Steven Bernstein,39850,2e+06,1
Steven Brill,51339203.4,47250000,5
Steven C. Miller,9672,50000,4
"Steven E. Gordon,Boyd Kirkland",NaN,NaN,1
Steven Goldmann,251775,NaN,1
Steven Jacobson,NaN,NaN,1
Steven Knight,698189.5,2e+07,2
Steven Quale,42575718,4e+07,1
Steven Sawalich,153205,NaN,2
Steven Schachter,NaN,NaN,1
Steven Shainberg,2133825.5,10400000,2
Steven Soderbergh,57894136.5384615,40335714.2857143,14
Steven Spielberg,130708771.545455,94272727.2727273,11
Steven Williford,NaN,NaN,1
Steven Zaillian,7221458,5.5e+07,1
Stewart Hendler,11956207,13333333.3333333,3
Stewart Wade,9467,NaN,2
