director,mean_gross,mean_budget,number_of_movies
Clare Kilner,14108518,1.2e+07,3
Clare Lewins,4178,NaN,1
Clark Gregg,2926565,3e+06,1
Clark Johnson,76461288,7e+07,2
Claudia Myers,NaN,5e+06,1
Claudio Fäh,NaN,4700000,2
Clay Jeter,NaN,NaN,1
Clay Liford,NaN,NaN,1
Clay Tweel,NaN,NaN,1
Clint Eastwood,85391645.5,50566666.6666667,12
Cody Cameron,NaN,NaN,2
"Cody Cameron,Kris Pearn",119793567,7.8e+07,2
Coley Sohn,NaN,20000,2
"Colin Brady,Christopher Reeve",14522427,NaN,1
Colin Levy,NaN,NaN,1
Colin Minihan,NaN,NaN,1
"Colin Strause,Greg Strause",31584245.5,2.5e+07,2
Colin Theys,NaN,750000,1
Colin Trevorrow,4007792,750000,1
Constance Marks,302652,NaN,1
Corey Grant,NaN,NaN,1
Corey Yuen,480314,2.1e+07,1
Corey Ziemniak,NaN,29000,1
"Cory Edwards,Todd Edwards",51053787,17500000,2
Cory McAbee,NaN,NaN,1
Courteney Cox,8129,NaN,2
Courtney Hunt,2508841,1e+06,1
Courtney Solomon,15927111,24333333.3333333,3
Craig Brewer,41920903.3333333,18666666.6666667,3
Craig Chester,309384,NaN,1
Craig Gillespie,20232100.3333333,22333333.3333333,3
"Craig Gillespie,David Dobkin",25769067,2.2e+07,1
Craig Lucas,NaN,NaN,1
Craig M. Saavedra,9626,650000,1
Craig Mazin,25871834,3.5e+07,1
Craig McCracken,11411644,1.1e+07,1
Craig Moss,NaN,1300000,3
Craig R. Baxley,NaN,4600000,1
Craig Shapiro,NaN,6e+06,2
Craig Singer,NaN,NaN,1
Craig William Macneill,NaN,NaN,1
Craig Zisk,NaN,NaN,1
Craig Zobel,152899.666666667,270000,3
Curt Geda,NaN,NaN,4
"Curt Geda,Steven E. Gordon",NaN,NaN,2
Curt Morgan,NaN,2e+06,2
Curtis Hanson,36100938.4,51500000,5
Cynthia Wade,NaN,NaN,1
Cyrus Nowrasteh,655647,NaN,2
D. Kerry Prior,NaN,NaN,1
D.J. Caruso,48745987.8333333,35571428.5714286,7
D.M.W. Greer,NaN,NaN,1
Dagur Kári,19959,3800000,2
Daisy von Scherler Mayer,3034181,1.1e+07,1
Dallas Jenkins,814906,NaN,1
Damian Harris,NaN,2300000,1
Damien Chazelle,13092000,3300000,1
Damien Dante Wayans,25615792,2.5e+07,1
Damon Santostefano,NaN,5e+06,3
Dan Beers,NaN,NaN,1
"Dan Cutforth,Jane Lipsitz",25240988,1.2e+07,1
Dan Fogler,NaN,150000,1
Dan Gildark,15213,750000,1
Dan Gilroy,32279955,8500000,1
Dan Harris,228524,4e+06,1
Dan Ireland,NaN,NaN,1
Dan Lantz,NaN,75000,1
"Dan Ollman,Sarah Price",198975,NaN,1
Dan Scanlon,268488329,2e+08,1
Dana Adam Shapiro,20202,5e+06,1
Dana Brown,3672451,NaN,1
Dana Nachman,73002,NaN,1
Danfung Dennis,37539,NaN,1
Daniel Adams,184149,6833333.33333333,3
Daniel Algrant,121972,2.2e+07,2
Daniel Barber,27166,NaN,1
Daniel Barnz,10506308.3333333,13666666.6666667,6
"Daniel Beahm,Erika Randall Beahm",NaN,NaN,1
Daniel Benmayor,NaN,1.1e+07,1
"Daniel DelPurgatorio,Mike Smith",NaN,NaN,1
Daniel Espinosa,63677895,67500000,2
Daniel G. Karslake,309123,NaN,1
"Daniel Geller,Dayna Goldfine",815848,NaN,1
Daniel Hsia,10443,NaN,1
"Daniel Junge,Sharmeen Obaid-Chinoy",NaN,NaN,1
"Daniel Lindsay,T.J. Martin",561054,NaN,1
Daniel McCarthy,NaN,NaN,1
Daniel Myrick,95,2900000,3
Daniel Patrick Carbone,NaN,NaN,1
Daniel Sackheim,17951431,3e+07,1
Daniel Schechter,261695,1.2e+07,2
Daniel Stamm,20499594.5,2900000,2
Daniel Taplitz,11827301,NaN,1
Daniel Waters,23563,5e+06,1
Danny Boyle,16486358,26500000,5
Danny Buday,NaN,NaN,1
Danny Cannon,4280577,1e+07,1
Danny DeVito,9003907.5,47500000,2
Danny Draven,NaN,NaN,1
Danny Leiner,9187618,4750000,4
"Danny Pang,Oxide Chun Pang",25327256.5,2.8e+07,2
Dante Ariola,NaN,NaN,1
Dario Piana,NaN,4400000,3
Darius Clark Monroe,NaN,NaN,1
Darnell Martin,8134217,1.2e+07,1
"Darrell Rooney,Jeannine Roussel",NaN,NaN,1
Darren Aronofsky,45722432.3333333,31583333.3333333,6
Darren Grant,50382128,5500000,1
"Darren Grodsky,Danny Jacobs",81364,NaN,1
Darren Lynn Bousman,140244,10166666.6666667,4
Darren Stein,NaN,NaN,1
Daryl Wein,131708.5,NaN,2
Daryn Tufts,NaN,NaN,1
"Dave Borthwick,Jean Duval",7382993,2e+07,1
Dave Boyle,92918,NaN,1
Dave Bullock,NaN,3500000,1
Dave Filoni,35154336,8500000,1
Dave Green,38916903,1.3e+07,1
