name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,general_rating_user,contentRatingLevel,year,profit_ratio
What Women Want ,"6.4 based on 158,564 user ratings",2000-12-15,NA,NA,47,394,149,3,"advertising,pantyhose,ex-husband-ex-wife-relationship,telepathy,battle-of-the-sexes","Comedy,Fantasy,Romance",Rated PG-13 for sexual content and language,USA,"English,French",7e+07,33614543(USA),182805123,127,Color,1.37:1,6.4,158564,PG-13,2000,2.61150175714286
You Can Count on Me ,"7.7 based on 22,121 user ratings",2000-12-22,Kenneth Lonergan,"Laura Linney,Matthew Broderick,Mark Ruffalo",85,230,122,NA,"bank,single-mother,new-york,car-accident,cheating-husband",Drama,"Rated R for language, some drug use and a scene of sexuality",USA,English,1200000,118170(USA),9180275,111,Color,1.85:1,7.7,22121,R,2000,7.65022916666667
My Dog Skip ,"7.0 based on 16,622 user ratings",2000-03-03,NA,NA,61,149,79,NA,"mississippi,dog,veteran,puppy,1940s","Drama,Family,Sport",Rated PG for some violent content and mild language,USA,"English,German",5e+06,56941(USA),34099640,95,Color,1.37:1,7,16622,PG,2000,6.819928
The Emperor's New Groove ,"7.3 based on 127,895 user ratings",2000-12-15,Mark Dindal,"David Spade,John Goodman,Eartha Kitt",70,297,141,1,"llama,emperor,disney,antidote,first-part","Animation,Adventure,Comedy,Family,Fantasy",NA,USA,English,1e+08,9812302(USA),89296573,78,Color,1.66:1,7.3,127895,NA,2000,0.89296573
Unbreakable ,"7.2 based on 244,785 user ratings",2000-11-22,M. Night Shyamalan,"Bruce Willis,Samuel L. Jackson,Robin Wright",62,1344,294,1,"train-crash,invulnerability,child-with-gun,comic-book,superhero","Drama,Mystery,Sci-Fi,Thriller","Rated PG-13 for mature thematic elements including some disturbing violent content, and for a crude sexual reference",USA,English,7.5e+07,30330771(USA),94999143,106,Color,2.35:1,7.2,244785,PG-13,2000,1.26665524
Hollow Man ,"5.7 based on 101,685 user ratings",2000-08-04,Paul Verhoeven,"Kevin Bacon,Elisabeth Shue,Josh Brolin",24,628,180,2,"experiment,scientist,research,suburb,surrealism","Action,Horror,Sci-Fi,Thriller","Rated R for strong violence, language and some sexuality/nudity","USA,Germany",English,9.5e+07,26414386(USA),73209340,112,Color,1.85:1,5.7,101685,R,2000,0.770624631578947
Mission: Impossible II ,"6.1 based on 241,640 user ratings",2000-05-24,John Woo,"Tom Cruise,Dougray Scott,Thandie Newton",59,1424,237,1,"mission,cure,terrorist,thief,virus","Action,Adventure,Thriller",Rated PG-13 for intense sequences of violent action and some sensuality,"USA,Germany",English,1.25e+08,SGD 370000(Singapore),215397307,123,Color,2.35:1,6.1,241640,PG-13,2000,1.723178456
Gone in Sixty Seconds ,"6.5 based on 218,004 user ratings",2000-06-09,Dominic Sena,"Nicolas Cage,Angelina Jolie Pitt,Giovanni Ribisi",35,498,175,1,"car,brother,thief,theft,auto-theft","Action,Crime,Thriller","Rated PG-13 for violence, sexuality and language",USA,English,9e+07,25336048(USA),101643008,118,Color,2.35:1,6.5,218004,PG-13,2000,1.12936675555556
The Virgin Suicides ,"7.2 based on 116,635 user ratings",2000-05-19,Sofia Coppola,"Kirsten Dunst,Josh Hartnett,James Woods",76,520,152,1,"five-sisters,school,suicide,isolation,catholic","Drama,Romance",Rated R for strong thematic elements involving teens,USA,English,6e+06,235122(USA),4859475,97,Color,1.85:1,7.2,116635,R,2000,0.8099125
Where the Heart Is ,"6.8 based on 27,004 user ratings",2000-04-28,Matt Williams,"Natalie Portman,James Frain,Ashley Judd",30,240,78,2,"wal-mart,oklahoma,birth,tennessee,photographer","Comedy,Drama,Romance","Rated PG-13 for intense thematic material, language and sexual content",USA,English,1.5e+07,8292939(USA),33771174,120,Color,1.85:1,6.8,27004,PG-13,2000,2.2514116
Dark Days ,"7.8 based on 5,467 user ratings",2001-03-09,Marc Singer,NA,75,41,51,NA,"amtrak,new-york-city,eviction,tunnel,new-york",Documentary,NA,USA,English,NA,33039(USA),426687,94,Black and White,1.66:1,7.8,5467,NA,2001,NA
Thirteen Days ,"7.3 based on 45,175 user ratings",2001-01-12,NA,NA,67,315,162,NA,"missile,president,cuba,blockade,crisis","Drama,History,Thriller",Rated PG-13 for brief strong language,USA,"English,Russian,Spanish,Romanian",8e+07,46668(USA),34566746,145,Color,1.85:1,7.3,45175,PG-13,2001,0.432084325
Wonder Boys ,"7.4 based on 54,609 user ratings",2000-02-25,Curtis Hanson,"Michael Douglas,Tobey Maguire,Frances McDormand",73,335,173,NA,"professor,college-girl,pittsburgh-pennsylvania,midlife-crisis,based-on-novel","Comedy,Drama",Rated R for language and drug content,"USA,Germany,UK,Japan",English,5.5e+07,5808919(USA),19389454,107,Color,2.35:1,7.4,54609,R,2000,0.352535527272727
