actor,gross,budget,num
Kevin Downes,69044442,4e+06,2
Ariel Gade,50945934,6e+07,2
John C. Reilly,547455227,490400000,11
Henry Silva,0,0,0
John Tormey,7496522,2.6e+07,1
John Hawkes,60518601,2.8e+07,5
Miranda July,8907000,6e+06,4
Miles Thompson,7770268,4e+06,2
Dwight Yoakam,10046550,3e+07,2
Eric Roberts,0,0,0
Bryan Genesse,0,0,0
Terry Crews,190646992,1.2e+08,2
Sean Bean,179921753,1.77e+08,8
Chris Hemsworth,670513664,7.8e+08,10
Victoria Profeta,92902,1.4e+07,2
Michael Bergin,0,0,0
Amy Weber,0,0,0
Vernon Wells,0,0,0
Brian O'Halloran,48277694,1e+07,2
Jeff Anderson,48277694,1e+07,2
Rosario Dawson,518697150,601700000,15
Elizabeth Banks,714234315,501700000,14
Ioan Gruffudd,337650902,280200000,4
Dakota Fanning,754064861,579500000,14
Ewan McGregor,1515490770,1361100000,21
Tom Sizemore,217277490,1.84e+08,2
Mary McCormack,144883287,9e+07,3
Anjelica Huston,210049102,2.02e+08,6
Ethan Hawke,433221325,285700000,15
Trevor Jack Brooks,0,0,0
Lorelei Linklater,0,0,0
Billy Crystal,761390595,4.48e+08,5
Mary Gibbs,289907418,1.15e+08,1
Billy Bob Thornton,386432402,416500000,16
Michael Badalucco,7494849,2e+07,1
Brad Pitt,1908741608,1.728e+09,22
Julia Roberts,1104548989,8.81e+08,16
Jake Gyllenhaal,827016913,754500000,18
Jena Malone,19935093,24500000,3
Mary McDonnell,727883,4500000,1
Nicole Kidman,601910155,889800000,21
Christopher Eccleston,105263583,6.2e+07,2
Fionnula Flanagan,175071502,4.5e+07,3
Scott Glenn,76261036,4.5e+07,1
Antonio Banderas,949663774,7.47e+08,13
Daniel Radcliffe,1797658108,8.24e+08,8
Rupert Grint,1791838115,7.8e+08,6
Richard Harris,317557891,1.25e+08,1
John Cameron Mitchell,3029081,6e+06,1
Miriam Shor,3029081,6e+06,1
Stephen Trask,3029081,6e+06,1
John Cusack,871223664,722500000,20
Kate Beckinsale,769185150,601500000,12
Jeremy Piven,159775121,8.9e+07,4
Halle Berry,1075301279,956795000,13
Martin Landau,27920762,7.7e+07,2
Bob Balaban,27796042,7.2e+07,1
Franka Potente,350455220,1.65e+08,3
Anton Yelchin,168837632,2.92e+08,6
Tim Robbins,339852509,2.16e+08,5
Rhys Ifans,262030663,2.3e+08,1
Steve Zahn,90265214,1.47e+08,8
Jude Law,1374479996,1.282e+09,19
John Leguizamo,765216052,5.21e+08,11
Taylor Simpson,62505928,8e+06,2
Liev Schreiber,599522946,595400000,10
Hayden Christensen,869603528,403600000,12
Jon Voight,280156892,2.75e+08,5
Iain Glen,153304268,125600000,2
David Caruso,373967,1500000,1
Stephen Gevedon,373967,1500000,1
Paul Guilfoyle,373967,1500000,1
Jason Isaacs,157038340,3.4e+08,4
Mike Myers,1608906539,7.69e+08,7
Greg Stebner,7496522,2.6e+07,1
Christina Ricci,158446856,2.57e+08,10
Jonathan Rhys Meyers,78862692,1e+08,4
Naomi Watts,451558396,536050000,17
Laura Harring,14071722,3.7e+07,2
Jamie Foxx,1292847806,1.394e+09,15
Michael J. Fox,148773153,2.4e+08,2
Jim Varney,84037039,1.2e+08,1
Corey Burton,84037039,1.2e+08,1
Owen Wilson,1641402887,1384500000,23
Gabriel Macht,110348818,2.39e+08,6
Jennifer Aniston,1349243984,738500000,20
Whoopi Goldberg,56607223,4.8e+07,1
Helena Bonham Carter,677729670,452450000,8
Matthew Kimbrough,21973182,2.3e+07,1
Joseph Fiennes,95357053,2.44e+08,5
Sam Neill,366132103,1.63e+08,4
Julianne Moore,816065488,836365000,31
Robert Redford,65242428,204600000,5
Laurence Fishburne,522314786,4.57e+08,6
David Hyde Pierce,36790526,1.13e+08,6
James Gandolfini,142008936,167600000,6
Jason Mewes,30222977,35400000,2
Kevin Smith,30059386,2.2e+07,1
Jack Nicholson,662354835,4.1e+08,7
Patricia Clarkson,202763865,191100000,14
Shannon Elizabeth,158655559,4.1e+07,2
Jay Hernandez,78117208,4.4e+07,2
Alan Arkin,188705908,147500000,6
John Turturro,283789862,284500000,6
Joseph Gordon-Levitt,637758641,502500000,14
Michael Bacall,0,0,0
Shane Brolly,63712423,1.02e+08,3
Gary Sinise,18699868,1.3e+08,3
Jack Black,1190758494,1.007e+09,16
Jason Alexander,70836296,4e+07,1
Julie Andrews,203394209,7.7e+07,2
Anne Hathaway,1995535720,1.193e+09,22
Hector Elizondo,108244774,3.7e+07,1
Alec Baldwin,753799557,771200000,13
Jeff Goldblum,93375151,6e+07,1
Orlando Jones,100226004,1.25e+08,3
Velizar Binev,507443,5e+06,1
David Chandler,507443,5e+06,1
Shane Edelman,0,0,0
Balthazar Getty,0,0,0
Molly Parker,0,0,0
Jay Adams,0,0,0
Tony Alva,0,0,0
Nastassja Kinski,6712451,9e+07,1
Scarlett Johansson,1346011976,905500000,19
Raffaella Bánsági,0,0,0
Greg Kinnear,559503737,5.09e+08,16
Jackie Chan,803463440,6.54e+08,8
Chris Tucker,366219304,2.3e+08,2
John Lone,226138454,9e+07,1
Tim Allen,817532289,5.02e+08,9
Julie Bowen,81928596,8.8e+07,2
Kelly Lynch,22770864,3.8e+07,1
Antony Acker,71277420,4.5e+07,1
Rob Schneider,257633979,1.64e+08,4
Colleen Haskell,55762229,2.2e+07,1
John C. McGinley,55762229,2.2e+07,1
Sean Patrick Thomas,101177530,4.8e+07,2
Kerry Washington,191142775,116650000,6
Matt Dillon,150957403,114500000,6
Mary Jo Smith,0,0,0
Dan Bucatinsky,0,0,0
Richard Ruccolo,0,0,0
Sasha Alexander,0,0,0
Bridgette Wilson-Sampras,60400856,3.5e+07,1
Brittany Daniel,27087695,17700000,1
Dennis Miller,27087695,17700000,1
Swoosie Kurtz,5002310,1.3e+07,1
Marley Shelton,40552921,4.1e+07,4
Leo Fitzpatrick,0,0,0
Robert Wisdom,23563,5e+06,1
Alexa PenaVega,330417231,141800000,6
Daryl Sabara,310023061,1.11e+08,3
Carla Gugino,1025705971,7.56e+08,10
Delroy Lindo,124138940,1.22e+08,3
Edward Burns,54828878,201259000,7
Kelsey Grammer,88213957,1.87e+08,6
Vincent Cassel,150211473,6.8e+07,4
Brittany Murphy,483185937,2.64e+08,6
Diane Lane,346506846,2.54e+08,8
Scott Wolf,0,0,0
Alyssa Milano,22734486,1.7e+07,1
Chazz Palminteri,71027388,4.7e+07,2
Jamie Lee Curtis,227675645,1.19e+08,4
Dermot Mulroney,317936858,1.79e+08,9
Mary Kay Place,1948032,2700000,4
John Hurt,181691685,2.32e+08,3
Jeremy Sisto,43257703,40500000,3
Steve Buscemi,343007338,406600000,9
Ming-Na Wen,32131830,1.37e+08,1
Monica Potter,43119000,2.9e+07,2
Shalom Harlow,10397365,1.4e+07,1
Jerry O'Connell,158656720,1.4e+08,4
Jake Busey,13570951,3.1e+07,3
Melissa George,59871752,5.3e+07,3
Kane Hodder,12610731,1.1e+07,1
Lexa Doig,12610731,1.1e+07,1
Jeff Geddis,12610731,1.1e+07,1
Ben Foster,95283811,135500000,5
Melissa Sagemiller,14660909,3.6e+07,2
Denise Richards,103511859,33500000,3
David Boreanaz,20384136,1e+07,1
Kelly Sheridan,0,0,0
Kirby Morrow,0,0,0
Tim Curry,79280226,5e+07,2
Kurt Russell,334876330,4.29e+08,10
Kevin Costner,361773948,3.12e+08,11
